"ChIJK7pdguhWREgR-rGFnXN8qHc","*Clonakilty Community College, Clonakilty, Co Cork","Clonakilty Community College","261","231","M","42.8","86.4","488","40",,
"ChIJvzR5oHKSREgRpkwEt-UtHYI","*Colaiste Choilm, Ballincollig, Co Cork","Colaiste Choilm","92","74","M","60.8","93.3","686","697",,"CmRaAAAAWpXoh3AlEkqd6oWq0CjzhTI8V267R8uPudttHYL3b7ehY8BFQp5ck7wd49E2KCrJQj-Pmy2_fXaGWBoWkTV-a3glCVACFVpjxvSxGDeXDKyJWvqbdMANT8z246HgLKgOEhAp7SBQn03j62J-bb-3Q4o1GhS3NBiZQCCcb7MrbM0LYXHrK27nTg"
"ChIJNbbAEvmWW0gRT0Xift2Pv2Y","*Colaiste lognaid SJ, Sea Rd( Galway","Coláiste Iognáid (The Jes)","22","20","M","76.5","98.7","339","292","14.3","CmRaAAAAbHTXCQpLtu6DpPE5ssEPGBieAw9AbsOa2XM8A2dNRYyCVAdgxpSQkpv9SzJAYJIeLP62gdW0ouIrR1pxyvs3v9wWUNDU-Sph_m33lbpYLjJeQZgPj0_rjpzkueDp2ca6EhCpdwV8qbXOAVY1XujAKyoyGhR3K9FmuEs77Ilu6l6S0H7bMeWdBw"
"ChIJceY2RRvzT0gRYZs4Kv4cikk","*Colaiste na Sceilge, Caherciveen, Co Kerry","Colaiste na Sceilge","221","268","M","46.2","90.8","242","220",,"CmRaAAAAkDGI3yeTiQDv0cfQlc8pU6oxihUSDNgnncAAJXxeMp9Pa0F9XhzHHCPD_IGAligKZj1vDr-Ja06knzAjipJyJYFZDjRiMzPUIlBYhhxczVEvfZAUuEKQih_95jPEmQghEhCxFACTFceh-gDKF2bNV_OtGhT1YahodrI9vyPXg1w7VS-8lSL58w"
"ChIJF3koAqTOYEgRH3jaXSMARe8","*Colaiste Ris, Dundalk, Co Louth","Coláiste Rís","376",,"M","35.3","83","434","177","15.9",
"ChIJn9fOCM0SW0gRSMqTtM7CrF4","*Ennis Community College, Ennis, Co Clare","Ennis Community College","119","164","M","56.8","86.3","217","191",,"CmRaAAAAXyJSbCJu96aLCIGQbvsMdrcyNVBq6XzYcBeTiwEVjBpmYMU-69_i517oz_c5pdSuD0Xu4pqj9IWFujCYjxnMfBmVkOuS30Uo9QWBXOsWAQAVRTgiYXFREYOcBTyvt95DEhDIMdY2HFrWKHvbA18LsyL2GhTy-h_im1LGe58GBeFZWMcWRJtw0Q"
"ChIJwyAZ5qJtQ0gRi0jF676agl8","*Pobailscoil na Trionoide, Youghal, Co Cork","Pobalscoil Na Tríonóide","373",,"M","35.5","76.8","463","455","14.9",
"ChIJO92hMJDGQkgRnCOrxl_4hYs","Abbey Community College, Ferrybank, Co Kilkenny","Abbey Community College","395","391","M","34.2","75.3","463","375","16.4","CmRaAAAAhOUbKob3rUoQf6gfHRHB7FV0AHBqNw9Dh5BU5Xxb4bvj6FBChrkktkOKlUBS9JHje7JwI9Csv4YHK_bDwMMZi4TnSa-WkG8G2AG9TJueQQP8HJimK9US7i7rY7L3RNl1EhA6qG-GtjxpfeqtLaQEkAsuGhRNyaZJXcbyNzOtv67Sh4vokyOjRA"
"ChIJM2gLqzOoX0gRXXGIGbaqi8U","Abbey Vocational School, Donegal","Abbey Vocational School Donegal Town","332","315","M","38.6","85.6","409","433",,"CmRaAAAAio3_m8eMR0MoQPXJitibP5pnYouJd9JIXSOHiCjHKMTBBj8F693dQyRmyke7D85o7EFUznm1IAOVDjPvH3ZFxMVmMciwnmkAsZbpn_MITv25jZj9FpiJMffxtT-qa2THEhAbNG9Ldm3W7Co45_6KvTs3GhQUKRbNq5AgGj6mObIb3ABQXd5rnQ"
"ChIJDXWDrlMJZ0gR6xv1PeH6JPs","Alexandra College, Milltown, Dublin 6 (B)","Alexandra College","16","4","G","77.7","93.8","0","530","22.4","CmRaAAAARdvm_qv0g8z4KmWViiFNzIwyY4blY0VBriKSRXZjWZZBmEg8-JMzj5DSB61rEEMoMAJDfncj1DE8rfJjroR5n6slsoD_fwq78XETDo_-ctMhRdE3gSkkOsTi3cuIZLewEhBIGGHONDH2AC9Z46I-YPwVGhRS6Kh3CjBYFwBfoHhSkKe_Ghq8Cw"
